--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:45:58.893 30261 30386 D sharp_executorch_full: Part1 1x (3,3): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:58.893 30261 30386 D sharp_executorch_full: Part1 1x (3,3): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:58.893 30261 30386 D sharp_executorch_full: Part1 1x (3,3): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:58.896 30261 30386 D sharp_executorch_full: Part1 1x (3,3): calling Part2 forward
03-21 02:45:59.633 30261 30386 D sharp_executorch_full: Part1 1x (3,3): Part2 forward returned
03-21 02:46:00.383 30261 30386 D sharp_executorch_full: Part1 1x (3,4): getting output tensors (readback may sync Vulkan fence)
03-21 02:46:00.383 30261 30386 D sharp_executorch_full: Part1 1x (3,4): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:46:00.383 30261 30386 D sharp_executorch_full: Part1 1x (3,4): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:46:00.386 30261 30386 D sharp_executorch_full: Part1 1x (3,4): calling Part2 forward
03-21 02:46:01.140 30261 30386 D sharp_executorch_full: Part1 1x (3,4): Part2 forward returned
03-21 02:46:01.894 30261 30386 D sharp_executorch_full: Part1 1x (4,0): getting output tensors (readback may sync Vulkan fence)
03-21 02:46:01.894 30261 30386 D sharp_executorch_full: Part1 1x (4,0): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:46:01.894 30261 30386 D sharp_executorch_full: Part1 1x (4,0): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:46:01.898 30261 30386 D sharp_executorch_full: Part1 1x (4,0): calling Part2 forward
03-21 02:46:02.617 30261 30386 D sharp_executorch_full: Part1 1x (4,0): Part2 forward returned
03-21 02:46:03.364 30261 30386 D sharp_executorch_full: Part1 1x (4,1): getting output tensors (readback may sync Vulkan fence)
03-21 02:46:03.365 30261 30386 D sharp_executorch_full: Part1 1x (4,1): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:46:03.365 30261 30386 D sharp_executorch_full: Part1 1x (4,1): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:46:03.369 30261 30386 D sharp_executorch_full: Part1 1x (4,1): calling Part2 forward
03-21 02:46:04.094 30261 30386 D sharp_executorch_full: Part1 1x (4,1): Part2 forward returned
03-21 02:46:04.845 30261 30386 D sharp_executorch_full: Part1 1x (4,2): getting output tensors (readback may sync Vulkan fence)
03-21 02:46:04.845 30261 30386 D sharp_executorch_full: Part1 1x (4,2): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:46:04.845 30261 30386 D sharp_executorch_full: Part1 1x (4,2): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:46:04.849 30261 30386 D sharp_executorch_full: Part1 1x (4,2): calling Part2 forward
03-21 02:46:05.574 30261 30386 D sharp_executorch_full: Part1 1x (4,2): Part2 forward returned
03-21 02:46:06.322 30261 30386 D sharp_executorch_full: Part1 1x (4,3): getting output tensors (readback may sync Vulkan fence)
03-21 02:46:06.322 30261 30386 D sharp_executorch_full: Part1 1x (4,3): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:46:06.322 30261 30386 D sharp_executorch_full: Part1 1x (4,3): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:46:06.326 30261 30386 D sharp_executorch_full: Part1 1x (4,3): calling Part2 forward
03-21 02:46:07.077 30261 30386 D sharp_executorch_full: Part1 1x (4,3): Part2 forward returned
03-21 02:46:07.828 30261 30386 D sharp_executorch_full: Part1 1x (4,4): getting output tensors (readback may sync Vulkan fence)
03-21 02:46:07.828 30261 30386 D sharp_executorch_full: Part1 1x (4,4): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:46:07.828 30261 30386 D sharp_executorch_full: Part1 1x (4,4): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:46:07.832 30261 30386 D sharp_executorch_full: Part1 1x (4,4): calling Part2 forward
03-21 02:46:08.568 30261 30386 D sharp_executorch_full: Part1 1x (4,4): Part2 forward returned
03-21 02:46:08.570 30261 30386 D sharp_executorch_full: 1x patches (25): 34450ms
03-21 02:46:08.570 30261 30386 D sharp_executorch_full: 0.5x patches (0): 0ms
03-21 02:46:08.576 30261 30386 D sharp_executorch_full: Skipped 0.5x+0.25x (part12_25_only); filled x1Feat,x2Feat from downsampled x0Feat
03-21 02:46:08.576 30261 30386 I sharp_executorch_full: SHARP_pte_paths useVulkan=1 dir=/data/user/0/com.furnit.android/files/models_vulkan
03-21 02:46:08.576 30261 30386 I sharp_executorch_full:   Part3=/data/user/0/com.furnit.android/files/models_vulkan/sharp_split_part3_vulkan_fp32.pte
